Neurodiversity	Posted By	Employer	Post Type	Time Posted	Content	Likes	Comments	Shares	Timestamp Collected	Post URL	Post ID,Neurodiversity,Posted By,Employer,Post Type,Time Posted,Content,Likes,Comments,Shares,Timestamp Collected,Post URL,Post ID
,Autism,a Nurse Practitioner 1,San Diego State University,Jobs in Healthcare,a year,Does anyones have a BCBA or a Behavior Analysis degree and not work in an autism clinic? Looking into other avenues for my career.,3.0,3.0,,2024-09-19 21:48:46,https://www.fishbowlapp.com/post/does-anyones-have-a-bcba-or-a-behavior-analysis-degree-and-not-work-in-an-autism-clinic-looking-into-other-avenues-for-my,60.0
,Autism,a Researcher PHD Candidate,San Diego State University,Science & Research,7 months,The news of Chinese scientists developing a vaccine that could potentially reverse autism marks a significant advancement in the treatment of autism. How might such innovative research impact the scientific community and offer hope in the fight against autism? What changes could this development bring to autism therapy?,2.0,2.0,1.0,2024-09-19 21:49:11,https://www.fishbowlapp.com/post/the-news-of-chinese-scientists-developing-a-vaccine-that-could-potentially-reverse-autism-marks-a-significant-advancement-in,61.0
,Autism,a Nurse 1,San Diego State University,Healthcare,3 months,"Hi Guys , I am reaching out . I have a friend who needs our help. I am collecting donations for his baby boy who is diagnosed with Autism. He need financial assistance for therapies. Please donate so that we can help his son to get his therapies on time. Looking forward to all of you.",2.0,3.0,,2024-09-19 21:49:25,https://www.fishbowlapp.com/post/hi-guys-i-am-reaching-out-i-have-a-friend-who-needs-our-help-i-am-collecting-donations-for-his-baby-boy-who-is-diagnosed-with-xl4y-5,62.0
,Autism,an Associate,San Diego State University,Lawyers with ADHD,9 months,"Have any of y’all sought accommodations for ADHD or any other mental health diagnoses like Autism, OCD, etc.?
What types of accommodations? Was it hard to secure? Has it helped?",7.0,2.0,,2024-09-19 21:49:49,https://www.fishbowlapp.com/post/have-any-of-yall-sought-accommodations-for-adhd-or-any-other-mental-health-diagnoses-like-autism-ocd-etc-what-types-of-accommodations,63.0
,Autism,a Nurse,San Diego State University,Healthcare Administrators/Healthcare Leadership,6 months,Is there anyone here that is on the autism spectrum disorder. How do you navigate it at work? And do you ever disclose this to your work?,1.0,2.0,,2024-09-19 21:50:13,https://www.fishbowlapp.com/post/is-there-anyone-here-that-is-on-the-autism-spectrum-disorder-how-do-you-navigate-it-at-work-and-do-you-ever-disclose-this-to,64.0
,Autism,an Intake Paralegal 1,San Diego State University,Depression/Anxiety Talk,a year,"I have been unemployed for 11 months. I have applied for countless positions, had a few phone interviews, but only one, ""in person"" interview (2nd). My husband has a disability, for which he doesn't qualify for SSI. I also have a child with autism. We are on public assistance, now, and don't get anywhere near enough to pay our bills. I have been in mortgage lending compliance for 23 years. I know that 99% of my skills are non-transferable, so that is likely a big factor in my job search.",3.0,6.0,1.0,2024-09-19 21:50:36,https://www.fishbowlapp.com/post/i-have-been-unemployed-for-11-months-i-have-applied-for-countless-positions-had-a-few-phone-interviews-but-only-one-in-person,65.0
,Autism,a Dishwasher,San Diego State University,Data & Analytics Consultants,a year,Please feel free to DM! I earned one professional data certification. Autism at Work program as Professional Data Analyst/Data Scientist. Any job opportunities?,5.0,1.0,,2024-09-19 21:50:50,https://www.fishbowlapp.com/post/please-feel-free-to-dm-i-earned-one-professional-data-certification-autism-at-work-program-as-professional-data-analystdata-scientist,66.0
,Autism,a Senior Technology Program Manager 1,San Diego State University,Depression/Anxiety Talk,7 months,I'm having a hard time at work and the anxiety is making me feel unwanted. At times I have small crying hits at work and makes me just want to quit let I can't till I find a other one till then what can I do help me get over this stuff . Extra note I'm on the autism spectrum,4.0,3.0,,2024-09-19 21:51:13,https://www.fishbowlapp.com/post/im-having-a-hard-time-at-work-and-the-anxiety-is-making-me-feel-unwanted-at-times-i-have-small-crying-hits-at-work-and-makes,67.0
,Autism,an Underwriter 1,San Diego State University,Relationships,4 months,Does anyone know a book or any resources about how to understand and live with a partner who is on the autism spectrum? Please tell me why you found it helpful! Thanks,2.0,2.0,,2024-09-19 21:51:38,https://www.fishbowlapp.com/post/does-anyone-know-a-book-or-any-resources-about-how-to-understand-and-live-with-a-partner-who-is-on-the-autism-spectrum-please,68.0
,Autism,a Registered Nurse 1,San Diego State University,Nurses,3 months,"Hi Guys , I am reaching out . I have a friend who needs our help. I am collecting donations for his baby boy who is diagnosed with Autism. He need financial assistance for therapies. Please donate so that we can help his son to get his therapies on time. Looking forward to all of you. https://gofund.me/8c40e4fe",2.0,5.0,1.0,2024-09-19 21:52:01,https://www.fishbowlapp.com/post/hi-guys-i-am-reaching-out-i-have-a-friend-who-needs-our-help-i-am-collecting-donations-for-his-baby-boy-who-is-diagnosed-with-8zlq-5,69.0
,Autism,a Retail Sales Associate,San Diego State University,Interview Tips,3 months,"Hi all first time posting here so I'm a guy with autism which hasn't had alot of luck with employment since 2023, to cut to the chase I recently applied to a school this week for the position of guidance clerk but I unfortunately don't have any experience and my anxiety from getting ghosted has been getting to me. Does anyone have pointers on the off chance that I get a interview or get the job?",3.0,2.0,1.0,2024-09-19 21:53:50,https://www.fishbowlapp.com/post/hi-all-first-time-posting-here-so-im-a-guy-with-autism-which-hasnt-had-alot-of-luck-with-employment-since-2023-to-cut-to-the-chase,70.0
,Autism,an Advisory Associate,San Diego State University,Consulting,8 months,"If anyone is looking for a reliable and energetic live-out nanny / babysitter in NYC feel free to DM me.

My girlfriend recently moved to Chelsea NYC from Boston and is looking to continue her passion for childcare in NY. She graduated from Boston College with a minor in education and has 10 years of experience (3+ years of full-time nanny experience). Experience with newborn to 12 years old, including children with down syndrome, muscular dystrophy, and autism. Has amazing references",4.0,2.0,,2024-09-19 21:54:02,https://www.fishbowlapp.com/post/if-anyone-is-looking-for-a-reliable-and-energetic-live-out-nanny-babysitter-in-nyc-feel-free-to-dm-me-my-girlfriend-recently,71.0
,Autism,a Vice President 1,San Diego State University,Confession,5 months,"Hi y'all! I'm out in Glendale Az. I've been a stay at home mom since September of 2022. I'm actively going to therapy once a week, and share a car with my fiance. I need to go back to work, but I have major anxiety. If live to branch out and do something like a live chat agent job, but I also can't do a phone job (calls and doing scripts doesn't mix well w/my autism). My main experience is child care and fast food. Any other stay at home moms facing the same dilemma or have any suggestions?",3.0,2.0,,2024-09-19 21:54:27,https://www.fishbowlapp.com/post/hi-yall-im-out-in-glendale-az-ive-been-a-stay-at-home-mom-since-september-of-2022-im-actively-going-to-therapy-once-a-week-and,72.0
,Autism,a Registered Nurse BSN 2,San Diego State University,Healthcare,5 months,Any nurses with autism? What area of healthcare do you practice in? Do you have any tips for a new-ish grad (2 years experience) that feels like the psychosocial aspect is holding them back?,2.0,2.0,1.0,2024-09-19 21:54:50,https://www.fishbowlapp.com/post/any-nurses-with-autism-what-area-of-healthcare-do-you-practice-in-do-you-have-any-tips-for-a-new-ish-grad-2-years-experience-ofjq-5,73.0
,Autism,an Account Manager 1,San Diego State University,Depression/Anxiety Talk,6 months,Does anyone know if employers will discriminate against you for Autism/ADHD without telling you? I've been having anxious fits during interviews and I can tell it's affecting my ability to get a job.,2.0,1.0,,2024-09-19 21:55:04,https://www.fishbowlapp.com/post/does-anyone-know-if-employers-will-discriminate-against-you-for-autismadhd-without-telling-you-ive-been-having-anxious-fits,74.0
,Autism,an Associate,San Diego State University,Lawyers with ADHD,8 months,"Any AuDHDers out there who can actually meet a 2000 billable hr requirement? I was diagnosed with Autism & ADHD in 2023 and have been struggling to be productive while avoiding burnout. My firm just instituted a 2000 hr requirement, and 2 weeks in, I’m already behind. I just don’t see myself consistently billing 8 hrs a day without hitting severe burnout by March. Even if I kill myself to get there, I’ll have to do it all over again next year. I’m exhausted just thinking about it 😞",4.0,2.0,,2024-09-19 21:55:27,https://www.fishbowlapp.com/post/any-audhders-out-there-who-can-actually-meet-a-2000-billable-hr-requirement-i-was-diagnosed-with-autism-adhd-in-2023-and,75.0
,Autism,a Marketing Director,San Diego State University,ADHD Professionals,4 months,"Hi there!

I’m interested in getting a formal diagnosis (I identify with adhd and autism symptoms) however I would like a true evaluation to determine what it is.

Does anyone have recommendations for co or dr that offers testing? Im in Orange County but can drive to LA, San Diego etc

35 years old, tried in college to get evaluated but the price was $6k for the test so I didn’t move forward. Symptoms have only continued. Especially as I’ve taken on more responsibilities. Thank you!",1.0,3.0,,2024-09-19 21:55:51,https://www.fishbowlapp.com/post/hi-there-im-interested-in-getting-a-formal-diagnosis-i-identify-with-adhd-and-autism-symptoms-however-i-would-like-a-true,76.0
,Autism,,San Diego State University,Politics,4 months,"But at least they didn't get autism!

https://www.thestar.com/news/canada/a-young-child-in-ontario-has-died-of-measles/article_3f5e6e14-13d1-11ef-bef6-2b5f14b1ee24.html",9.0,0.0,,2024-09-19 21:56:14,https://www.fishbowlapp.com/post/but-at-least-they-didnt-get-autism,77.0
,Autism,an Internal Auditor,San Diego State University,Career Pivot,8d,"Hi everyone! I've worked for five years in audit and compliance and I'm honestly so done with the industry; I have ADHD and autism and the industry is brutal for neurodivergence. I'm desperate to find another life path and I'm willing to do part time education for whatever it is, what do you all suggest?",1.0,1.0,,2024-09-19 21:56:48,https://www.fishbowlapp.com/post/hi-everyone-ive-worked-for-five-years-in-audit-and-compliance-and-im-honestly-so-done-with-the-industry-i-have-adhd-and-autism,78.0
,Autism,a Paraprofessional,San Diego State University,ADHD Professionals,a year,"I just left a meeting with my boss and an attorney of education. I am trying to pass the CPI test. But, due to my Autism and ADHD, which affects my muscle and time reaction skills it has been a challenge. After 3 attempts, they are giving me 2 days off next week to prepare for the Crisis Intervention Writing and Physical Exam. Americans with Disability Act states that if I cannot pass, I am not qualified. Does that seem right ? Also, what can I do to pass ? I do not want to lose my job.",1.0,2.0,,2024-09-19 21:57:11,https://www.fishbowlapp.com/post/i-just-left-a-meeting-with-my-boss-and-an-attorney-of-education-i-am-trying-to-pass-the-cpi-test-but-due-to-my-autism-and-adhd,79.0
,Autism,an Associate,San Diego State University,Tax Bowl,5 months,Trying to find out if anyone knows about the autism coverage for children of parents who work at PWC NYC. PwC,2.0,0.0,,2024-09-19 21:57:36,https://www.fishbowlapp.com/post/trying-to-find-out-if-anyone-knows-about-the-autism-coverage-for-children-of-parents-who-work-at-pwc-nyc-pwc,80.0
,Autism,a Chief Legal Officer,San Diego State University,In-House Counsel,6 months,Do your HR departments do anything to try to address difficulties that people with ASD (autism) or other similar conditions might face in applying for jobs? I just read something on this issue and am curious now.,4.0,0.0,,2024-09-19 21:57:59,https://www.fishbowlapp.com/post/do-your-hr-departments-do-anything-to-try-to-address-difficulties-that-people-with-asd-or-other-similar-conditions-might,81.0
,Autism,a Consultant,San Diego State University,Autistic Professionals,2 months,"Hey peeps. I disclosed my autism to my direct manager, and this led to micromanagement. I'm a very autonomous person and hate being micromanaged. Do you tell your companies about your autism and neuro diversity?",1.0,1.0,,2024-09-19 21:58:22,https://www.fishbowlapp.com/post/hey-peeps-i-disclosed-my-autism-to-my-direct-manager-and-this-led-to-micromanagement-im-a-very-autonomous-person-and-hate,82.0
,Autism,,San Diego State University,The Worklife Bowl,3 months,"You wrote: ""Does anyone else with Autism and/or ADHD working in a corporate office feel so out of place?"" Corporate offices are generally not designed for neurodivergent people. You have the right to ask for what you need to work productively. Check out the work of Ludmila N. Praslova- https://hbr.org/2021/12/autism-doesnt-hold-people-back-at-work-discrimination-does",5.0,0.0,,2024-09-19 21:58:45,https://www.fishbowlapp.com/post/you-wrote-does-anyone-else-with-autism-andor-adhd-working-in-a-corporate-office-feel-so-out-of-place-corporate-offices,83.0
,Autism,a Still Unemployed,San Diego State University,Depression/Anxiety Talk,21d,"i have autism, level 2. i left school at 13 which then just led me to be neglected and abused by my alcoholic mother for all my highschool years. now i live in another state, with my dad fortunately. but i have no ID, no GED, and less social ability. now im in my 20s, i feel screwed. i feel completely unable to do most anything let alone work but i can’t stand being alone 24/7 and would love to make some money but im at a point where i feel theres no hope. there’s also so few jobs in town.",1.0,2.0,,2024-09-19 21:59:20,https://www.fishbowlapp.com/post/i-have-autism-level-2-i-left-school-at-13-which-then-just-led-me-to-be-neglected-and-abused-by-my-alcoholic-mother-for-all-my,84.0
,Autism,a Managing Director,San Diego State University,Job Referrals!,a month,"At Attentive Care Services, our mission is to foster real opportunities for individuals with increasing independence and community inclusion. We support participants as they learn & develop new skills and while striving for personal growth and achievement, making life choices based on their own strengths, preferences, interests and abilities.

We are looking for individuals with great customer service skills, and experience working with individuals with intellectual disabilities, and autism.",4.0,0.0,,2024-09-19 21:59:45,https://www.fishbowlapp.com/post/at-attentive-care-services-our-mission-is-to-foster-real-opportunities-for-individuals-with-increasing-independence-ljht-5,85.0
,Autism,a Retail Sales Associate,San Diego State University,Neurodivergent Professional Women,a year,"A mishap unfolded involving a coworker talking about there child's autism and them saying that melt downs and tantrums are the same thing which struck a cord hard. I had explained how they weren't and I am autistic but she leaves quickly. Everyone is telling me I am in the wrong but its hard to process as it is but this stress leads to a meltdown/tears. Instead of any kind of repair like we had before when issues arise, They decided to let me go and never new about my autism until that moment.",1.0,1.0,,2024-09-19 22:00:08,https://www.fishbowlapp.com/post/a-mishap-unfolded-involving-a-coworker-talking-about-there-childs-autism-and-them-saying-that-melt-downs-and-tantrums,86.0
,Autism,a Social Content Analyst,San Diego State University,Mental Health in Advertising,a month,"I’m having the same challenges at my new job as I have had at every other job. I keep hitting the same wall when it comes to social skills & group communication, it comes off as not being committed. I get feedback that I’m not proactive or vocal enough, and combined with the overstimulation of RTO, I’m really struggling. This & other behaviors are making me believe I have undiagnosed autism. I want to get a diagnosis but that takes time. how can I talk to my manager or hr now to keep my job?",1.0,2.0,,2024-09-19 22:00:32,https://www.fishbowlapp.com/post/im-having-the-same-challenges-at-my-new-job-as-i-have-had-at-every-other-job-i-keep-hitting-the-same-wall-when-it-comes-to-social,87.0
,Autism,a Retail Sales Associate,San Diego State University,Unemployed,7 months,"these past few months/half year have been difficult for me and i'm rapidly loosing motivation by the day,so for context my previous job was a training gig at cvs that lasted a few months at best sure it was repetitive but as someone with autism the slower pace of things felt fine for me. fast foward a few months later and it feels like all and any attempts to find employment have just been nagging at me more and more is there anything i can do to get in a better mental state?",4.0,1.0,,2024-09-19 22:00:56,https://www.fishbowlapp.com/post/these-past-few-monthshalf-year-have-been-difficult-for-me-and-im-rapidly-loosing-motivation-by-the-day-so-for-context-my-previous,88.0
,Autism,a Consultant,San Diego State University,The Worklife Bowl,9 months,Has anyone with autism requested remote work as a reasonable accommodation under ADA even while the firm is pushing return to office? I’m not “out” at work but RTO is killing me so I’m evaluating possible strategies 😣,1.0,1.0,,2024-09-19 22:01:20,https://www.fishbowlapp.com/post/has-anyone-with-autism-requested-remote-work-as-a-reasonable-accommodation-under-ada-even-while-the-firm-is-pushing-return,89.0
,Autism,a Cashier,San Diego State University,Jobs in Sales,3 months,So I got a job at the local Five Below as a cashier. I helped open the store and now I'm just on call. Haven't worked in 2 weeks. Is this legal and I was wondering if anyone knows of any companies that would hire someone with autism and pots syndrome.,5.0,2.0,,2024-09-19 22:01:43,https://www.fishbowlapp.com/post/so-i-got-a-job-at-the-local-five-below-as-a-cashier-i-helped-open-the-store-and-now-im-just-on-call-havent-worked-in-2-weeks-is-this,90.0
,Autism,a Mechanical Engineer,San Diego State University,NEURODIVERGENT PEOPLE,a year,"I'm still a pretty new engineer (grad 2022) and I'm struggling to figure out how to operate well in a work place? In addition to anxiety, depression, ADHD and probably autism, I'm chronically ill with POTS. I'm kinda stuck in a cycle where masking and anxiety of not understanding others wears me out and will flare me and I don't have enough time to recover before the cycle starts all over again.

Is there a way to actually get this under control in a predominantly neurotypical workplace?",,1.0,,2024-09-19 22:02:06,https://www.fishbowlapp.com/post/im-still-a-pretty-new-engineer-grad-2022-and-im-struggling-to-figure-out-how-to-operate-well-in-a-work-place-in-addition-to,91.0
,Autism,a Senior Software Developer,San Diego State University,Neurodiversity in Tech,9 months,"Known something was wrong with me as far back as I can remember - some exceptional abilities (STEM), but serious deficits (social skills, sensory processing, attention). Mostly thrived in my career with people who tolerated my quirks when they saw what I could do. Tentatively diagnosed with Asperger's in 2001, but there was no info or help. High Functioning Autism sort of confirmed ~2018, plus ADHD inattentive and depression. Employer denied accommodation request, laid me off 2020...",2.0,1.0,,2024-09-19 22:02:40,https://www.fishbowlapp.com/post/known-something-was-wrong-with-me-as-far-back-as-i-can-remember-some-exceptional-abilities-stem-but-serious-deficits,92.0
,Autism,an Associate 1,San Diego State University,Jobs in Tech,a year,"So I have a degree in cybersecurity, and I am undertaking a coding bootcamp , I can’t get a job due to a criminal record In the cybersecurity field, but I’m very good at what I do, I have ADHD and Autism which was diagnosed at a late stage of my life but it explains the transgressions earlier on in my life . Do I have a chance of ever getting a job on tech?",3.0,1.0,,2024-09-19 22:03:04,https://www.fishbowlapp.com/post/so-i-have-a-degree-in-cybersecurity-and-i-am-undertaking-a-coding-bootcamp-i-cant-get-a-job-due-to-a-criminal-record-in-the-cybersecurity,93.0
,Autism,a Registered Nurse BSN 2,San Diego State University,Healthcare Professional Confessions,5 months,Any nurses with autism? What area of healthcare do you practice in? Do you have any tips for a new-ish grad (2 years experience) that feels like the psychosocial aspect is holding them back?,1.0,0.0,,2024-09-19 22:03:27,https://www.fishbowlapp.com/post/any-nurses-with-autism-what-area-of-healthcare-do-you-practice-in-do-you-have-any-tips-for-a-new-ish-grad-2-years-experience-msny-5,94.0
,Autism,a Consultant 1,San Diego State University,Autism,2 months,"I have 3 kids, 4 , 2 and 1. The eldest is autistic and non verbal. The second kid does not stop talking even makes 4 word sentences. The third kid has is doing great with his skills. I had moved back to India to get more support but realised he will not be admitted into the school and would go just for therapy.

I am considering moving back to US. Which state should I consider moving to for autism related services. I was in Chicago and wait time for ABA was a lot.",,1.0,,2024-09-19 22:03:51,https://www.fishbowlapp.com/post/i-have-3-kids-4-2-and-1-the-eldest-is-autistic-and-non-verbal-the-second-kid-does-not-stop-talking-even-makes-4-word-sentences,95.0
,Autism,,,,,,,,,2024-09-19 22:04:23,https://www.fishbowlapp.com/post/what-opportunities-are-out-there-for-a-young-man-with-a-bachelor-in-computer-engineering-and-9-years-of-experience-in-tech,96.0
,Autism,,San Diego State University,Working Autistics,4 months,"Hi, is this community active? I really struggle in the workplace as an autistic person. My general personality is everything they tell you not to be in the workplace and it's hard to fit in. I get the feeling that coworkers don't like me and stigmatize me because of my autism.",2.0,0.0,1.0,2024-09-19 22:05:59,https://www.fishbowlapp.com/post/hi-is-this-community-active-i-really-struggle-in-the-workplace-as-an-autistic-person-my-general-personality-is-everything-they,97.0
,Autism,a Psychologist,San Diego State University,Healthcare,2 months,"Myself Dil Nawaz,
I am clinical psychologist and speech therapist.
As a Psychologist,Counselor. I want to learn and grow my skills

Service for,
Autism Spectrum Disorder, ADHD, Intellectual Disability,
Behavior Problems,
Psychological problems.
Domestic issues,
Pre and post marital problems
Voice & Fluency Problems,
Speech Therapy,
Slow learners
Home session and Online also.!
Objective
Dil Nawaz
Clinical psychologist.
Contact Number: 03074082865
WA :03074082865
Email
dnawaz906@gmail.com",2.0,0.0,,2024-09-19 22:06:23,https://www.fishbowlapp.com/post/myself-dil-nawaz-i-am-clinical-psychologist-and-speech-therapist-as-a-psychologist-counselor-i-want-to-learn-and-grow-my,98.0
,Autism,a Senior Consultant 1,San Diego State University,"Austin, Texas",3 months,"We're excited to announce our attendance at the upcoming ""Fajitas & Faith"" event, hosted by Edwards Family Entertainment, benefiting Autism Meets Faith! 🌮✨

🗓 Date: July 30th
📍 Location: Las Cascadas Mexican Restaurant

We are honored to be a part of this incredible event and support a cause close to our hearts. Join us for an evening of delicious food, great company, and a wonderful mission to serve the autistic community and their families.

We look forward to seeing you there!",,1.0,,2024-09-19 22:06:46,https://www.fishbowlapp.com/post/were-excited-to-announce-our-attendance-at-the-upcoming-fajitas-faith-event-hosted-by-edwards-family-entertainment,99.0
,Autism,a Recruiter,San Diego State University,Healthcare HR & Recruitment,5 months,"🚨 Calling all BCBA's 🚨

We're hiring! Check out our careers page or message me for details: https://lnkd.in/gmbNHhSr Autism Learning Partners
Linkedin.com/in/sheryathomas

Know an outstanding BCBA? Tag them below and share this post!

🌟 Recent ALP Highlights: 🌟
Some BCBA positions now eligible for $20k relocation assistance.
Now offering 20-25% 401k employer match.
New rewards and recognition program launched.
New clinics opened in Texas, Florida, Rhode Island, Ohio, and Massachusetts.",,0.0,,2024-09-19 22:07:21,https://www.fishbowlapp.com/post/calling-all-bcbas-were-hiring-check-out-our-careers-page-or-message-me-for-details-autism-learning-partnerslinkedin,100.0
,Autism,a Medical Office Assistant,San Diego State University,Neurodivergent Professional Women,4 months,"My sister and I are neurodivergent women. While my sister cannot take ""academic"" classes, she can paint and draw on multiple artistic mediums.
She also plays the drums and records her lessons.

Some people break off contact with me when I say I am Austistic as well. I was formerly diagnosed as having Asperger's Syndrome when I graduated from secondary school in British Columbia.

Canada uses America's DSM definitions and once the DSM V was created: Asperger's was lumped in with Autism.",,0.0,,2024-09-19 22:09:40,https://www.fishbowlapp.com/post/my-sister-and-i-are-neurodivergent-women-while-my-sister-cannot-take-academic-classes-she-can-paint-and-draw-on-multiple,101.0
,Autism,a Senior Associate,San Diego State University,Accounting,2 months,"Any Sr. Mgrs+ with ASD and/or ADHD? How have you overcome such symptoms as difficulties with communication/connecting with people, juggling many projects, making sure nothing falls through the cracks, not being overwhelmed? Did your difficulties slow down your career progress? How has your firm supported you? I have AuDHD and was told my difficulties will limit my career growth. My LT plan isn't to make partner but I'm hoping to make Sr. Manager.",26.0,30.0,5.0,2024-09-19 22:24:34,https://www.fishbowlapp.com/post/any-sr-mgrs-with-asd-andor-adhd-how-have-you-overcome-such-symptoms-as-difficulties-with-communicationconnecting-with,102.0
,Autism,a Senior Director,San Diego State University,Confession,a year,"If after 12 years of marriage and a kid or two, your spouse came out as a high functioning autistic person WWYD? Consider their lack of empathy and gross neglect towards your needs affected your self esteem and caused a stressful marriage . Also they had known about their ASD but never discussed it",3.0,28.0,1.0,2024-09-19 22:24:55,https://www.fishbowlapp.com/post/if-after-12-years-of-marriage-and-a-kid-or-two-your-spouse-came-out-as-a-high-functioning-autistic-person-wwyd-consider-their,103.0
,Autism,an Associate General Counsel,San Diego State University,Parents at Work,6 months,"So, I posted a few weeks ago that we were going to have my child evaluated by a neuropsychologist. We had our feedback session today and he was formally diagnosed with ASD. He is graduating elementary school this year. I can’t say I am totally surprised (he was in early intervention and has IEP for speech) but it still is a lot to process.",15.0,7.0,,2024-09-19 22:25:27,https://www.fishbowlapp.com/post/so-i-posted-a-few-weeks-ago-that-we-were-going-to-have-my-child-evaluated-by-a-neuropsychologist-we-had-our-feedback-session,104.0
,Autism,,San Diego State University,Teacher's Lounge,10d,"I am looking for work outside of ASD, I was ""assigned"" a job that i wasn't supposed to do the day before school started. It is affecting my mental health. I do havve a degree in elementary ED, 15 years experience as a teacher and an educational administrative masters.",5.0,4.0,,2024-09-19 22:25:52,https://www.fishbowlapp.com/post/i-am-looking-for-work-outside-of-asd-i-was-assigned-a-job-that-i-wasnt-supposed-to-do-the-day-before-school-started-it-is-affecting,105.0
,Autism,an Associate,San Diego State University,Big Law,9 months,"Does your firm address neurodiversity as part of its DEI program? I’m recently coming to understand my own neurodiversity and also coming to suspect that a good number of attorneys I know have ASD. In my experience, diagnoses like ADHD or depression are less taboo in the legal community and among millennials. But what about autism spectrum? Is anyone talking about this at your firm? I think it would be helpful and even life changing for those who are yet unaware of their own neurodiversity.",7.0,5.0,4.0,2024-09-19 22:26:27,https://www.fishbowlapp.com/post/does-your-firm-address-neurodiversity-as-part-of-its-dei-program-im-recently-coming-to-understand-my-own-neurodiversity-and-also,106.0
,Autism,a Senior Manager,San Diego State University,Consulting,10 months,"Incredibly intelligent but no organisational capability and while am very articulate, very awkward to engage with. Lead strategy projects and while the team works, I behind the scenes write the strategy in a day. Getting tested for ADHD and possibly ASD. Female 39. Also have GAD,MDD and cTPSD and bipolar - but the bipolar is being recoloured as misdiagnosed ADHD. Would love to hear stories of late diagnoses and what your life is like working in consulting",3.0,4.0,1.0,2024-09-19 22:26:40,https://www.fishbowlapp.com/post/incredibly-intelligent-but-no-organisational-capability-and-while-am-very-articulate-very-awkward-to-engage-with-lead,107.0
,Autism,a Senior Associate,San Diego State University,Accounting,6 months,"Question for anyone with autism spectrum disorder (ASD) - How has a diagnosis helped you, especially at work? I suspect I have ASD (""self-diagnosed"") and wondering if it's worth getting diagnosed as an adult. I'm already formally diagnosed with ADHD and there is some overlap on symptoms.",2.0,3.0,,2024-09-19 22:26:53,https://www.fishbowlapp.com/post/question-for-anyone-with-autism-spectrum-disorder-asd-how-has-a-diagnosis-helped-you-especially-at-work-i-suspect-i-have,108.0
,Autism,,San Diego State University,Tech,7 months,"Anyone at Deloitte know how true their DEI messaging is, specifically relating to hiring autistic individuals? Would it hurt if I contacted my local office and asked to speak to someone involved in DEI efforts, or should I search for a hiring agency that specializes in ASD.",2.0,3.0,1.0,2024-09-19 22:27:17,https://www.fishbowlapp.com/post/anyone-at-deloitte-know-how-true-their-dei-messaging-is-specifically-relating-to-hiring-autistic-individuals-would-it,109.0
,Autism,a Chief Legal Officer,San Diego State University,In-House Counsel,6 months,Do your HR departments do anything to try to address difficulties that people with ASD (autism) or other similar conditions might face in applying for jobs? I just read something on this issue and am curious now.,4.0,0.0,,2024-09-19 22:27:40,https://www.fishbowlapp.com/post/do-your-hr-departments-do-anything-to-try-to-address-difficulties-that-people-with-asd-or-other-similar-conditions-might,110.0
,Autism,,San Diego State University,Science & Research,10 months,"For a person with a PhD in Neuroscience (basic research,behaviour, ASD/ID, ephys], how easy or difficult would be to transition to a Medical Science Liason job in the UK? I want to transition ouside academia and I am considering this could be a good option for me, but I don't have any references on how to do so. Many thanks :)",2.0,0.0,,2024-09-19 22:28:04,https://www.fishbowlapp.com/post/for-a-person-with-a-phd-in-neuroscience-basic-research-behaviour-asdid-ephys-how-easy-or-difficult-would-be-to-transition-to-a,111.0
,Autism,,San Diego State University,Career Advice for Students,a month,"Hello! I’m Amaya, looking for employment or an internship inside of the neuroscience field. I was blessed with Asperger Syndrome, so I learn new material very quickly. Neuroscience has always been my special interest. I feel I would play an important role in diagnosing the minds of today’s century with ASD. Everyone is on the spectrum, after all. I believe it’s time we spread the knowledge!",3.0,0.0,,2024-09-19 22:28:38,https://www.fishbowlapp.com/post/hello-im-amaya-looking-for-employment-or-an-internship-inside-of-the-neuroscience-field-i-was-blessed-with-asperger-syndrome-so,112.0
,Autism,a RN Operating Room,San Diego State University,Healthcare,9 months,"Hi. I am new here and hope someone can direct me to a new position. I am an RN with an ASD in nursing, a B focus in business, a Masters Health Administration, recent working experience in management, but have well over 20+ yrs in the operating room. I stopped working in 12/22 thinking I could find work with these degrees. I live in St. Louis, Mo. but am willing to leave. Can someone help me find a job for the less experienced in healthcare management? Thanks.",1.0,1.0,,2024-09-19 22:29:11,https://www.fishbowlapp.com/post/hi-i-am-new-here-and-hope-someone-can-direct-me-to-a-new-position-i-am-an-rn-with-an-asd-in-nursing-a-b-focus-in-business-a-masters,113.0
,Autism,a Board Certified Behavior Analyst Bcba,San Diego State University,Job Referrals!,3 months,"Looking for a job as a BCBA? Check out A&J Behavioral Health. It is a great company which offers competitive salaries and benefits. The BCBAs are knowledgeable and eager to collaborate. If you are looking to work for a great agency and want to provide ABA to clients with ASD, check out A&J Behavioral Health.",,0.0,,2024-09-19 22:29:35,https://www.fishbowlapp.com/post/looking-for-a-job-as-a-bcba-check-out-aj-behavioral-health-it-is-a-great-company-which-offers-competitive-salaries-and-benefits,114.0
